distance,stellar_magnitude,orbital_radius,eccentricity,mass_earth,radius_earth,Habitable
304.0,4.72307,1.29,0.23,6165.901999999999,11.847600000000002,0
409.0,5.013,1.53,0.08,4684.8142,11.957300000000002,0
246.0,5.23133,0.83,0.0,1525.5839999999998,12.615499999999999,0
58.0,6.61935,2.773069,0.37,2586.7579822999996,12.286400000000002,0
69.0,6.215,1.66,0.68,565.7374,13.164,0
408.0,5.22606,1.45,0.06,1373.0256,12.615499999999999,0
249.0,5.51048,2.6,0.08,3273.649,12.176700000000002,0
454.0,12.618,330.0,0.0,2542.64,18.254080000000002,0
313.0,5.59,0.19,0.04,289.2253,13.6028,0
235.0,6.4535,1.333,0.09,632.4816999999999,13.0543,0
235.0,6.4535,2.08,0.29,273.3338,13.6028,0
419.0,16.186,118.0,0.0,1271.32,12.7252,0
154.0,15.788,84.0,0.0,4131.79,12.067000000000002,0
110.0,14.244,52.0,0.0,7786.835,10.97,0
131.0,10.337002339522547,156.0,0.0,4417.8369999999995,15.796800000000001,0
393.0,10.337002339522547,15.0,0.0,2383.725,12.396099999999999,0
210.0,20.15,55.0,0.0,1589.1499999999999,12.615499999999999,0
1293.0,12.651,0.92,0.33,603.877,13.164,0
227.0,12.368,230.0,0.0,3972.875,12.067000000000002,0
146.0,7.09209,0.99,0.29,4392.4106,12.067000000000002,0
296.0,4.8262,1.19,0.38,1233.1804,12.7252,0
45.0,5.03352,2.1,0.03,804.1098999999999,12.9446,0
45.0,5.03352,3.6,0.1,171.6282,13.9319,0
45.0,5.03352,11.6,0.16,521.2411999999999,13.164,0
240.0,4.5801,0.87,0.43,2256.593,12.396099999999999,0
97.0,5.21149,13.2,0.45,635.66,13.0543,0
50.0,5.45309,0.0527,0.01,146.2018,13.9319,0
41.0,5.95084,0.1134,0.0,263.989598,13.6028,0
41.0,5.95084,0.2373,0.03,54.476062,8.337200000000001,0
41.0,5.95084,5.957,0.13,1232.54474,12.7252,0
41.0,5.95084,0.01544,0.05,7.99,1.875,0
41.0,5.95084,0.7708,0.08,44.814029999999995,7.426690000000001,0
28.0,4.6955,0.050201,0.12,5.1,2.11,0
28.0,4.6955,0.2175,0.14,18.2,4.36606,0
28.0,4.6955,0.476,0.35,22.9,5.00232,0
178.0,5.87307,2.11,0.07,638.8382999999999,13.0543,0
58.0,4.96808,0.481,0.4,2380.5467,12.396099999999999,0
271.0,5.3532,2.1,0.12,953.49,12.8349,0
65.0,3.95,1.758,0.06,587.9855,13.164,0
65.0,3.95,2.153,0.08,276.5121,13.6028,0
330.0,5.64307,2.5,0.21,1684.4989999999998,12.505799999999999,0
530.0,6.83295,0.49,0.06,416.3573,13.3834,0
144.0,4.23946,0.7,0.03,1017.056,12.8349,0
529.0,7.076,93.9,0.4,2860.47,12.286400000000002,0
163.0,9.13,260.0,0.0,4290.705,12.067000000000002,0
66.0,2.00538,1.2,0.25,572.0939999999999,13.164,0
67.0,0.872,1.46,0.1,2056.3601,12.396099999999999,0
32.0,8.81,0.0645,0.19,20.12,3.98211,0
32.0,8.81,0.1101,0.04,9.6,3.17033,0
320.0,4.01,556.0,0.4,3464.3469999999998,12.176700000000002,0
139.0,9.01,1.48,0.39,7961.6415,11.737900000000002,0
3492.0,9.577,1.3,0.2,2034.112,12.396099999999999,0
66.0,9.7,0.0428,0.0,8.5,2.7863800000000003,0
66.0,9.7,0.435,0.31,54.0311,8.19459,0
135.0,9.86,0.06,0.15,12.7132,3.5323400000000005,0
135.0,9.86,0.68,0.19,104.8839,12.176700000000002,0
275.0,10.013,0.04,0.02,187.51969999999997,13.8222,0
89.0,10.03,2.36,0.05,206.5895,13.7125,0
89.0,10.03,0.3,0.4,15.37,3.9492000000000003,0
3018.0,10.038,1.66,0.21,3108.3774,12.176700000000002,0
161.0,9.78,0.78,0.29,330.5432,13.4931,0
2505.0,10.41,0.576,0.0,337.21763,13.4931,0
1391.0,9.01,0.539,0.26,352.79130000000004,13.4931,0
112.0,9.62,1.34,0.54,1620.9329999999998,12.615499999999999,0
5023.0,9.743,1.05,0.15,17668.1697,11.299100000000001,0
5023.0,9.743,2.01,0.18,3963.3401,12.067000000000002,0
4314.0,9.367,1.3,0.21,1334.886,12.7252,0
585.0,10.849,0.241,0.0,22.2481,2.5231000000000003,0
175.0,9.67,0.83,0.12,432.2488,13.2737,0
2843.0,9.139,1.0,0.2,289.2253,13.6028,0
2174.0,8.69,1.7,0.76,540.3109999999999,13.164,0
1442.0,9.381,4.2,0.35,508.528,13.2737,0
171.0,9.38,0.78,0.27,228.83759999999998,13.7125,0
147.0,9.374,1662.0,0.0,4767.45,14.370700000000001,0
124.0,8.96,2.06,0.88,1258.6068,12.7252,0
290.0,3.51012,1.7,0.08,2479.0739999999996,12.286400000000002,0
64.0,3.85,10.019926,0.11,3729.1407078999996,18.1005,0
64.0,3.85,2.680483,0.31,3223.1521696,12.176700000000002,0
126.0,2.0569,1.4,0.19,1938.7629999999997,12.505799999999999,0
28.0,13.95,0.0185,0.0,3.95,1.82,0
75.0,10.337002339522547,2.6,0.0,3337.2149999999997,12.176700000000002,0
2173.296296296296,10.337002339522547,200.0,0.0,2479.0739999999996,20.404200000000003,0
621.0,10.337002339522547,210.0,0.0,3994.8052700000003,12.067000000000002,0
515.0,13.642,16.75676107873016,0.25,3686.8279999999995,12.176700000000002,0
1104.0,15.293,0.1055,0.53,874.0324999999999,10.6409,0
2137.0,12.897,0.0436,0.0,740.5439,15.687100000000001,0
3674.0,15.588,0.04016,0.07,291.45011,15.796800000000001,0
3748.0,15.005,0.051,0.0,415.72164,9.708450000000001,0
5691.0,15.932,0.027,0.0,2415.508,11.957300000000002,0
2389.0,16.052,0.0618,0.33,170.03905,12.8349,0
3837.0,16.29,0.0461,0.0,772.3269,11.189400000000001,0
2495.0,14.868,0.0295,0.08,1102.8701,14.370700000000001,0
2579.0,14.135,0.0518,0.05,352.79130000000004,14.1513,0
2570.0,13.623,0.02752,0.0,327.3649,16.3453,0
2753.0,14.63,0.09,0.59,1366.6689999999999,9.2148,0
2753.0,14.63,2.9,0.6,5403.11,11.957300000000002,0
4563.0,16.058,0.0417,0.0,718.2957999999999,14.261000000000001,0
2046.0,13.82,0.092,0.08,12.2,4.77195,0
3461.0,15.675,0.048,0.16,889.9239999999999,11.518500000000001,0
1930.0,15.383,0.056,0.0,5.7,3.6201000000000003,0
1930.0,15.383,0.098,0.0,28.0,4.8268,0
3600.0,14.79,0.0578,0.0,85.8141,11.847600000000002,0
3409.0,15.861,0.0526,0.0,165.2716,13.8222,0
3296.0,15.774,0.0476,0.065,3302.2537,11.04679,0
2499.0,13.783,0.0603,0.05,153.82971999999998,10.47635,0
2631.0,15.408,0.0386,0.08,270.15549999999996,9.873000000000001,0
696.0,12.516,0.02798,0.01,1102.8701,16.08202,0
3367.0,15.571,0.0844,0.01,921.7069999999999,11.06873,0
6543.0,15.479,0.0586,0.02,266.9772,16.0162,0
3664.0,15.635,0.0429,0.0,349.613,18.4296,0
3020.0,13.126,0.066,0.0,216.1244,15.4677,0
2508.0,13.448,0.05783,0.0,6884.1978,11.0797,0
2370.0,13.652,0.09,0.0,228.83759999999998,13.0543,0
2879.0,14.043,0.04947,0.09,148.42661,15.22636,0
2105.0,13.961,0.0855,0.1,940.7768,12.79102,0
522.0,11.728,0.017016,0.0,4.07661,1.681,0
522.0,11.728,0.046,0.0,8.4,2.7754100000000004,0
522.0,11.728,0.22512646203649203,0.0,17.142,4.21248,0
1050.0,14.792,0.063,0.0,69.9226,6.2528999999999995,0
1347.0,13.637,0.4021,0.13,266.9772,11.694020000000002,0
1881.0,13.626,0.071,0.0,47.674499999999995,6.2528999999999995,0
622.0,12.335,440.0,0.0,5403.11,24.134000000000004,0
100.0,12.956,5.75,0.0,3823.2724189999994,12.067000000000002,0
68.0,10.337002339522547,0.36,0.35,9058.154999999999,11.628200000000001,0
440.0,13.98,330.0,0.0,3496.1299999999997,29.619000000000003,0
204.0,7.98,0.1462,0.083,24.27,5.17784,0
204.0,7.98,0.0733,0.057,9.6,2.99481,0
204.0,7.98,0.0422,0.07,3.35,1.65,0
204.0,7.98,0.0651,0.07,4.13,1.86,0
450.0,8.57,0.0664,0.08,138.89171,14.0416,0
148.0,9.066,0.0662,0.14,2.58,1.41,0
997.0,18.6837,8.19,0.39,1995.9723999999999,12.505799999999999,0
144.0,8.17,0.22512646203649203,0.0,413.179,5.58373,0
437.0,17.6984,0.0349,0.0,1.15,1.047,0
520.0,16.014,0.11000234672021421,0.0,4.16,1.87,0
2304.0,14.321,0.11000234672021421,0.0,2.86,1.5,0
825.0,13.948,0.06238086486486486,0.0,0.26,0.692,0
757.0,11.746,0.11000234672021421,0.0,2.24,1.3,0
1556.0,12.081,0.11000234672021421,0.0,1.98,1.22,0
1093.0,14.668,0.11000234672021421,0.0,1.08,1.03,0
1884.0,14.974,0.0296,0.0,0.688,0.908,0
840.0,14.705,0.06238086486486486,0.0,0.972,1.0,0
1424.0,14.983,0.035,0.0,1.12,1.04,0
796.0,12.365,0.11000234672021421,0.0,2.27,1.31,0
1207.0,13.096,0.11000234672021421,0.0,3.53,1.7,0
1207.0,13.096,0.11000234672021421,0.0,2.54,1.4,0
1207.0,13.096,0.22512646203649203,0.0,7.27,2.54504,0
526.0,17.89,0.11000234672021421,0.0,1.01,1.01,0
1474.0,16.59,0.11000234672021421,0.0,3.53,1.7,0
1474.0,16.59,0.11000234672021421,0.0,1.87,1.2,0
358.0,17.83,0.06238086486486486,0.0,0.972,1.0,0
1025.0,14.005,0.06238086486486486,0.0,0.84,0.96,0
1025.0,14.005,0.11000234672021421,0.0,5.03,2.094,0
607.0,15.133,0.1195,0.06,4.35,1.92,0
593.0,10.154,0.1493,0.0,27.0,5.63858,0
1365.0,14.611,0.11000234672021421,0.0,2.79,1.48,0
1365.0,14.611,0.22512646203649203,0.0,5.77,2.22691,0
1996.0,13.441,0.22512646203649203,0.0,5.35,2.17,0
924.0,13.672,0.11000234672021421,0.0,3.19,1.6,0
1044.0,12.488,0.11000234672021421,0.0,2.13,1.26,0
1044.0,12.488,0.22512646203649203,0.0,5.99,2.27079,0
1833.0,13.976,0.11000234672021421,0.0,1.87,1.2,0
1833.0,13.976,0.22512646203649203,0.0,5.9,2.24885,0
1097.0,14.81,0.098,0.2,7.2,2.5340700000000003,0
1097.0,14.81,0.28,0.2,7.7,2.6328,0
2037.0,13.991,0.06238086486486486,0.0,0.937,0.99,0
1619.0,14.21,0.11000234672021421,0.0,3.19,1.6,0
798.0,12.101,0.01312,0.0,7.72,1.6,0
798.0,12.101,0.1091,0.18,5.8,2.2,0
490.0,16.77,0.11000234672021421,0.0,1.37,1.1,0
1216.0,11.237,0.07229,0.0,953.49,11.52947,0
1800.0,12.353,4.5,0.0,4131.79,12.176700000000002,0
1048.0,11.429,0.047,0.06,8.75,1.95,0
1048.0,11.429,0.13,0.07,14.67,3.5871900000000005,0
1048.0,11.429,0.22,0.15,10.18,3.86144,0
228.0,4.12577,1.3,0.11,2129.461,12.396099999999999,0
10.0,3.71548,3.53,0.07,209.7678,13.7125,0
12.0,4.69,11.55,0.26,1032.9475,12.8349,0
155.0,3.523,1.93,0.15,2415.508,12.396099999999999,0
435.0,10.337002339522547,800.0,0.0,5085.28,11.957300000000002,0
52.0,13.078,0.02279,0.0,2.5,1.39,0
52.0,13.078,0.0525,0.0,3.75,1.76,0
91.0,13.821,0.0385,0.0,4.76,2.025,0
1186.0,13.242,0.04047,0.0,533.9544,13.482130000000002,0
683.0,11.277,0.0467,0.0,259.66711,14.502340000000002,0
130.0,1.99509,1.19,0.14,2790.5473999999995,12.286400000000002,0
46.0,3.23006,2.05,0.05,2987.602,12.286400000000002,0
155.0,3.90672,1.24,0.21,324.1866,13.4931,0
155.0,3.90672,2.17,0.06,1455.6614,12.615499999999999,0
135.0,3.69252,1.32,0.2,425.8922,13.3834,0
16.0,13.76,0.0457,0.0,1.08,1.03,1
16.0,13.76,0.0738,0.0,1.36,1.1,1
12.0,12.7,0.021,0.31,1.37,1.1,0
12.0,12.7,0.035,0.29,1.74,1.18,1
12.0,12.7,0.054,0.53,1.64,1.16,1
41.0,13.68,0.0153,0.22,1.66,1.13,0
41.0,13.68,0.0476,0.27,2.64,1.43,0
36.0,11.939,0.166,0.38,96.6997775,11.737900000000002,0
36.0,11.939,0.912,0.34,68.0601162,9.500020000000001,0
26.0,13.76,0.5714,0.0,10.62,3.1813,0
48.0,15.1,0.0149,0.063,8.17,2.68765,0
66.0,12.68,0.00915,0.0,1.32,1.18,0
33.0,14.01,0.026,0.04,7.4,2.5669800000000005,0
53.0,8.08,0.1915,0.19,22.7,2.55601,0
12.0,8.09,0.072,0.09,3.03,1.55,0
12.0,8.09,5.4,0.27,36.0,6.52715,0
84.0,9.7,0.053,0.06,10.2,3.10451,0
49.0,11.79,0.0607,0.07,10.6,3.1813,0
49.0,11.79,0.1254,0.1,6.8,2.44631,1
49.0,11.79,1.0304,0.37,29.4,5.792160000000001,0
40.0,11.963,2.41,0.21,260.62059999999997,13.6028,0
39.0,10.914,0.092,0.07,6.49,2.38049,0
39.0,10.914,0.129,0.09,6.4,2.35855,1
39.0,10.914,0.309,0.14,7.56,2.59989,1
121.0,6.20902,0.034411,0.24,4.59248,1.98,0
121.0,6.20902,16.763449,0.04,4067.8680304,12.067000000000002,0
93.0,10.37,0.283,0.72,16.2,4.08084,0
19.0,8.15,0.384214,0.37,8.57613,2.80832,1
19.0,8.15,1.086215,0.4,14.85045,3.87241,0
18.0,9.89,0.0818,0.1,4.0,1.83,0
77.0,11.45,0.101,0.08,13.0,3.5871900000000005,0
19.0,9.84,0.091101,0.1,2.89,1.51,1
19.0,9.84,0.036467,0.17,1.18,1.06,0
57.0,6.59,0.49,0.51,1071.0871,12.8349,0
54.0,11.041,0.079,0.22,8.2,2.7315300000000002,0
73.0,11.403,0.03165,0.32,3.34,2.13,0
93.0,10.8275,0.0197,0.19,1.78,1.18,0
93.0,10.8275,0.057,0.11,4.18,1.88,0
93.0,10.8275,0.698,0.32,10.5,3.15936,0
50.0,12.4,1.151,0.07,794.5749999999999,12.9446,0
50.0,12.4,5.23,0.17,522.4998068,13.164,0
59.0,6.9,0.091179,0.93,11.73969,3.37876,0
67.0,9.99,4.5,0.37,731.0089999999999,13.0543,0
66.0,11.945,0.14339,0.06,23.54,5.079110000000001,0
66.0,11.945,0.36175,0.11,21.09,4.76098,0
66.0,11.945,0.19394,0.12,7.6,2.61086,1
66.0,11.945,0.08208,0.21,3.28,1.63,0
18.0,12.57,0.03282,0.23,2.02,1.23,0
18.0,12.57,0.1264,0.17,2.31,1.32,0
77.0,12.062,0.089,0.31,6.6,2.4024300000000003,0
21.0,7.7,0.142,0.11,10.6,3.1813,0
96.0,12.332,0.0355,0.02,13.9,4.47576,0
89.0,13.74,0.01589,0.0,1.86,1.264,0
89.0,13.74,0.0876,0.0,7.41,2.57795,0
31.0,15.18,0.337,0.44,146.2018,13.9319,0
31.0,15.18,1.292,0.02,63.566,9.127040000000001,0
31.0,10.91,0.035,0.0,1.84,1.217,0
31.0,10.91,0.061,0.0,3.4,1.66,0
31.0,10.91,0.204,0.0,6.1,2.29273,1
66.0,11.938,0.0287,0.08,8.4,2.7754100000000004,0
31.0,10.153,0.0071,0.0,0.546,0.718,0
45.0,13.04,0.026,0.07,8.0,2.68765,0
52.0,12.675,0.0252,0.0,1.75,1.09,0
52.0,12.675,0.081,0.0,5.71,2.2049700000000003,0
23.0,9.65,0.05402,0.0,1.71,1.17,0
55.0,10.166,0.0608,0.12,7.14,2.5121300000000004,0
59.0,10.844,0.029,0.0,2.47,1.38,0
59.0,10.844,0.089,0.05,6.26,2.32564,0
19.0,7.49,0.07879,0.06,2.69,1.45,0
39.0,8.31,0.2324,0.45,7.6,2.57795,0
39.0,8.31,1.4,0.11,53.83086709999999,8.21653,0
41.0,11.66,0.111,0.11,11.07,3.25809,0
70.0,12.903,0.082,0.37,16.57,4.13569,0
30.0,9.81,0.062,0.04,6.043,2.2817600000000002,0
30.0,9.81,4.819,0.12,32.422,6.143200000000001,0
30.0,9.81,0.178,0.07,5.223,2.14,1
32.0,10.67,0.0291,0.14,22.1,4.08084,0
46.0,11.49,0.068,0.1,13.2,3.6201000000000003,0
26.0,11.39,0.01734,0.05,2.82,1.305,0
57.0,5.18799,43.5,0.0,1271.32,12.7252,0
25.0,9.05,0.422,0.45,5.2,2.13,1
34.0,9.71,0.06661,0.08,5.36,2.17,0
21.0,10.57,0.04061,0.0,15.8,4.01502,0
21.0,10.57,0.0721,0.0,5.5,2.21,0
21.0,10.57,0.02815,0.0,1.7,1.17,0
21.0,10.066,0.078361,0.13,2.82,1.49,0
34.0,9.7,1.135,0.3,104.24824,12.176700000000002,0
24.0,10.602,0.0505,0.13,5.6,2.23,0
24.0,10.602,0.125,0.02,3.8,1.77,1
24.0,10.602,0.213,0.02,2.7,1.45,1
24.0,10.602,0.156,0.03,2.7,1.45,1
24.0,10.602,0.549,0.08,4.6,1.99,0
15.0,9.38,0.039,0.2,11.09,3.25809,0
52.0,9.58,1.734535,0.32,1837.0192604000001,12.505799999999999,0
52.0,9.58,9.67808,0.3,4271.031323,12.067000000000002,0
52.0,9.58,0.039322,0.19,3.79832,1.77,0
52.0,9.58,0.180707,0.15,6.69167,2.42437,0
32.0,10.129,10.121898,0.38,7764.984187499999,11.737900000000002,0
