distance,stellar_magnitude,orbital_radius,eccentricity,mass_earth,radius_earth,Habitable
3051.0,14.907,0.097,0.0,3.15,1.59,0
60.0,5.65,0.22512646203649203,0.22,13.38,3.6420400000000006,0
1330.0,12.355,0.03524,0.0,251.40353,11.913420000000002,0
655.0,12.694,0.135,0.0,4.7,2.01,0
478.0,7.65,1.98,0.25,390.93089999999995,13.3834,0
121.0,7.20856,0.689,0.05,422.7139,13.3834,0
454.0,15.838,0.0409,0.0,1175.971,4.9365000000000006,0
558.0,13.049,0.046,0.0,0.457,0.81,0
556.0,11.275,0.247,0.07,15.4,7.338930000000001,0
70.0,7.76,0.0805,0.05,8.3,2.12,0
301.0,10.375,0.0882,0.35,184.34139999999996,11.518500000000001,0
252.0,8.23,6.15,0.13,1640.0028,12.615499999999999,0
353.0,10.115,0.308,0.57,56.891569999999994,8.556600000000001,0
102.0,5.82,8.416586,0.08,6363.4333449999995,11.847600000000002,0
1072.0,13.478,0.2508,0.0,4.5,1.96,0
55.0,7.17896,0.1551,0.21,6.44,2.36952,0
974.0,12.568,0.3403,0.0,21.1,4.76098,0
325.0,13.86,0.0707,0.062,15.0,2.4682500000000003,0
222.0,10.938,0.09429,0.09,2.5,2.59989,0
557.0,8.191,0.047,0.0,985.273,16.784100000000002,0
2810.0,15.546,0.202,0.0,21.6,2.9619000000000004,0
2351.0,14.314,0.02591,0.011,778.6835,14.370700000000001,0
444.0,10.337002339522547,243.0,0.0,4449.62,12.067000000000002,0
2040.0,13.27,0.051,0.0,1.98,1.22,0
7059.0,15.713,0.064,0.0,5.22,2.14,0
1592.0,14.654,0.1291,0.0,13.7,3.6859200000000003,0
2257.0,15.471,0.0443,0.0,2.54,1.4,0
438.0,13.707,0.035,0.19,2.24,1.3,0
3340.0,14.92,0.052,0.0,2.48,1.38,0
445.0,7.83,1.157,0.15,612.45841,13.164,0
10438.0,10.337002339522547,3.6,0.0,1207.754,12.7252,0
2714.0,16.265,0.1126,0.0,3.64,1.73,0
1498.0,12.981,0.0711,0.0,4.6,1.31,0
2540.0,13.902,0.087,0.0,3.53,1.7,0
674.0,13.581,0.11000234672021421,0.0,2.34,1.332,0
662.0,14.974,0.0818,0.0,5.73,2.2159400000000002,0
128.0,8.45,487.1,0.0,3496.1299999999997,14.1513,0
922.0,12.61,0.0463,0.03,9.7,1.868,0
263.0,8.558,0.1436,0.03,77.55051999999999,9.51099,0
2740.0,13.417,0.075,0.0,0.721,0.92,0
1921.0,15.971,0.1158,0.0,6.04,2.2817600000000002,0
4466.0,14.856,0.302,0.0,6.94,2.47922,0
908.0,12.977,0.11000234672021421,0.0,4.95,2.072,0
3856.0,15.052,0.1542,0.0,13.5,3.6749500000000004,0
1375.0,16.5919,0.061,0.0,1.08,1.03,0
749.0,10.47,0.11000234672021421,0.0,4.9,2.061,0
529.0,9.504,0.0617,0.03,305.11679999999996,14.590100000000001,0
217.0,15.37,0.106,0.11,2.21,1.29,1
1773.0,16.473,0.0228,0.0,4.27,1.901,0
2906.0,14.379,0.097,0.0,7.9,2.67668,0
1048.0,11.429,0.22,0.15,10.18,3.86144,0
2567.0,13.823,0.057,0.0,9.01,2.8851100000000005,0
6539.0,15.668,0.0339,0.0,8.25,2.7425,0
251.0,7.57,0.1528,0.0,43.86054,7.009830000000001,0
22377.0,10.337002339522547,1.75,0.0,177.9848,13.8222,0
19.0,8.15,0.384214,0.37,8.57613,2.80832,1
14288.0,10.337002339522547,1.89,0.0,279.6904,13.6028,0
2750.0,15.262,0.0374,0.0,62.29468,9.01734,0
1040.0,12.571,0.11000234672021421,0.0,3.46,1.679,0
88.0,6.47915,0.22512646203649203,0.0,6.08,2.29273,0
367.0,4.37799,1.17,0.03,6547.298,11.847600000000002,0
1430.0,12.487,0.3987,0.0,18.2,4.36606,0
330.0,10.474,0.0097,0.0,3.26,1.62,0
2008.0,13.411,0.1467,0.0,2.76,1.47,0
317.0,8.99,1.03,0.28,715.1175,13.0543,0
953.0,13.989,0.1076,0.0,1.63,1.155,0
94.0,8.45,2.55,0.37,73.1009,9.90591,0
1731.0,14.552,0.0854,0.0,4.66,2.0,0
259.0,7.52,2.03,0.12,1630.4678999999999,12.615499999999999,0
2567.0,13.823,0.165,0.0,12.5,3.4994300000000003,0
5934.0,15.863,0.60347,0.04,40.36441,7.98616,0
2067.0,15.695,0.1326,0.0,12.2,3.44458,0
238.0,8.81,2.248182,0.55,119.9649335,13.2737,0
1382.0,10.517,0.0365,0.0,2542.64,17.332600000000003,0
9003.0,24.73,2.59,0.0,80.00098929999999,10.44344,0
457.0,8.21,1.11,0.17,403.6441,13.3834,0
238.0,8.04,0.048559,0.09,18.94937,4.47576,0
1256.0,15.81,0.027,0.0,1.2,1.06,0
1015.0,15.655,0.031,0.0,3.19,1.6,0
2559.0,13.086,0.171,0.0,7.8,2.65474,0
156.0,7.99,7.444845,0.25,4841.0308233,11.957300000000002,0
4041.0,15.643,0.141,0.0,7.51,2.58892,0
1957.0,13.447958559585492,0.19,0.0,0.02,0.338,0
49.0,11.79,0.1254,0.1,6.8,2.44631,1
51.0,9.84,0.119,0.12,13.64,3.6859200000000003,0
150.0,8.63,0.06,0.09,15.9,4.0369600000000005,0
3757.0,14.358,0.0548,0.0,0.972,1.0,0
2767.0,13.883,0.71,0.0,254.264,7.93131,0
56.0,5.4,0.92,0.14,721.4741,13.0543,0
364.0,5.986,0.98,0.14,238.3725,13.7125,0
3035.0,13.635,0.086,0.0,2.7,1.45,0
358.0,11.726,0.05574,0.0,7.8,3.0496600000000003,0
362.0,11.023,0.137,0.17,13.6,2.86317,0
5386.0,15.599,0.2037,0.0,7.41,2.57795,0
204.0,15.622,0.0164,0.09,1.37,1.1,0
2274.0,12.282,0.0509,0.0,190.38017,17.23387,0
2027.0,14.427,0.0593,0.0,7.65,2.62183,0
500.0,16.14,0.0559,0.0,5.27,2.15,0
897.0,13.32,0.11000234672021421,0.0,3.12,1.579,0
4363.0,15.444,0.2269,0.0,56.25590999999999,3.0386900000000003,0
1842.0,14.954,0.0578,0.0,7.41,2.57795,0
875.0,14.95,0.0956,0.0,3.23,1.613,0
2842.0,13.393,0.5548,0.0,10.2,3.09354,0
2689.0,15.198,0.064,0.0,1.46,1.12,0
83.0,9.8,5.055931,0.36,2625.1391331,12.286400000000002,0
39.0,8.31,0.2324,0.45,7.6,2.57795,0
323.0,8.04,0.06229,0.0,54.34893,14.809500000000002,0
26879.0,10.337002339522547,0.93,0.0,79.4575,10.41053,0
280.0,10.252,0.3274,0.06,16.0,2.61086,0
2216.0,14.904,0.4451,0.0,9.17,2.9180200000000003,0
4665.0,14.808,0.2188,0.0,14.3,3.79562,0
66.0,9.7,0.0428,0.0,8.5,2.7863800000000003,0
19017.0,10.337002339522547,2.8,0.0,1976.9026,12.505799999999999,0
2525.0,13.315,0.0478,0.233,279.6904,17.9908,0
1636.0,14.222,0.1074,0.0,4.81,2.039,0
2732.0,15.205,0.0518,0.0,2.27,1.31,0
991.0,10.922,0.035,0.03,2.4,1.42,0
498.0,11.982,0.0847,0.0,794.5749999999999,5.67149,0
1720.0,14.767,0.058,0.0,2.63,1.43,0
2509.0,17.5054,0.0501,0.0,7.41,2.5669800000000005,0
1325.0,13.497,0.0699,0.0,7.13,2.5121300000000004,0
1069.0,13.848,0.11000234672021421,0.0,2.33,1.33,0
114.0,8.1,0.237,0.61,137.62039,14.0416,0
95.0,7.17,3.318,0.18,633.43519,13.0543,0
238.0,13.372,0.1159,0.0,3.89,1.8,0
69.0,7.56,1.16,0.14,349.613,13.4931,0
140.0,8.1,0.06,0.09,31.783,6.066410000000001,0
2032.0,15.541,0.0422,0.0,2.24,1.3,0
2228.0,13.877,0.0218,0.0,0.59,0.87,0
41.0,5.95084,0.01544,0.05,7.99,1.875,0
2455.0,9.19,1.36,0.64,2793.7256999999995,12.286400000000002,0
416.0,16.8419,0.0295,0.0,2.04,1.23,0
3176.0,14.622,0.1508,0.0,8.6,2.80832,0
570.0,12.192,0.0272,0.0,146.2018,13.9319,0
1184.0,13.175,0.22512646203649203,0.0,7.3,2.54504,0
2127.0,14.863,0.197,0.0,3.02,1.55,0
1326.0,14.424,0.04,0.0,1.51,1.13,0
2442.0,13.937,0.037,0.0,239.32599,11.134549999999999,0
27727.0,18.8,0.055,0.0,1207.754,8.885700000000002,0
2966.0,15.327,0.0892,0.0,4.93,2.069,0
127.0,9.73,0.1162,0.07,8.32,2.0,0
3353.0,14.731,0.3907,0.0,16.0,4.0369600000000005,0
658.0,12.572,0.22512646203649203,0.0,10.7,3.19227,0
158.0,15.692,0.0064,0.0,2.1,1.25,0
8161.0,16.9195,0.051,0.0,321.00829999999996,12.396099999999999,0
438.0,17.07,0.0167,0.01,0.84,0.96,0
973.0,13.181,0.0243,0.0,603.877,14.261000000000001,0
1480.0,14.585,0.11000234672021421,0.0,2.48,1.38,0
2824.0,14.993,0.0185,0.0,3.12,1.58,0
2947.0,14.949,0.2159,0.0,7.04,2.49019,0
490.0,6.75,2.79266,0.13,1933.6808982999999,12.505799999999999,0
305.0,8.23,0.191,0.1,222.48099999999997,13.7125,0
2108.0,13.817,0.25,0.01,2.0,2.43534,0
4672.0,15.242,0.179,0.0,7.8,2.65474,0
361.0,15.523,0.0345,0.26,2.04,1.23,0
211.0,9.25,0.1367,0.06,9.71,3.0167500000000005,0
3536.0,16.229,0.214,0.0,4.8,2.99481,0
1186.0,13.242,0.04047,0.0,533.9544,13.482130000000002,0
2053.0,14.397,0.142,0.0,4.19,1.88,0
605.0,16.701,0.05023,0.5,5.61,2.231,0
1609.0,12.679,0.04497,0.06,260.93843,16.46597,0
123.0,9.46,4.13,0.6,731.0089999999999,13.0543,0
142.0,6.37009,17.0,0.36,7627.92,11.737900000000002,0
587.0,17.236,0.0525,0.16,11.0,3.23615,0
1693.0,14.672,0.2122,0.0,8.05,2.69862,0
293.0,9.789,5.28,0.0,3003.4934999999996,12.286400000000002,0
2022.0,13.929,0.0527,0.0,0.809,0.95,0
1034.0,15.385,0.0114,0.0,1.2,1.06,0
2760.0,13.762,0.087,0.0,3.36,1.65,0
774.0,10.505,0.448,0.02,6.8,2.44631,0
988.0,13.063,0.077,0.0,2.76,1.47,0
575.0,17.74,0.0542,0.0,8.91,2.86317,0
26422.0,10.337002339522547,15.0,0.0,57.209399999999995,8.556600000000001,0
149.0,7.93,2.73,0.06,143.02349999999998,14.0416,0
2132.0,12.896,0.204,0.0,8.45,2.7754100000000004,0
3073.0,13.15,0.566,0.0,8.4,2.76444,0
163.0,9.13,260.0,0.0,4290.705,12.067000000000002,0
1081.0,15.21,0.139,0.34,7.31,2.55601,0
2642.0,14.749,0.0483,0.0,3.33,1.64,0
7355.0,15.99,0.1028,0.0,15.9,4.0369600000000005,0
